30 20
N 000000000000000000000000000011000000000000000000011000000000110000000110000000101000000001100000000000000000011000000000000000010100101001000000000001101000000000000000011000000000000000000110000000000100010101110001000000001000011000100000000000000110000000000000000001100011000000000010011100000000000000001111100000010000000110111000000000000011011011001000101001100110011000000000110101101011000000011000011000111000001100000110000011000000100001111001110001001100011010110000000101100110011000000000001000000100000010000000000000000000001000000110000000000001000000100000000000000000000000000100 Hunter
N 001000000000000010000110000010010000011010100000101110010100001000001111000001000011000001110000110000011000011000010000000011000110001100000000011001110110000000000011111101010000100010000010000000001001000001101000100000011000001100011000000010000110100110001000000001000000000000100000011000000000001000000111000000000000000001100000100010010000011000011000000110000110000010000000010001100000000000000000011000000000000000000110000001000000000001100100000000011000011000011000010110000111000110000010000001100000000000000000011000100000000000000100000100000000000001011000001001100000011100100000 Impurity
N 000000010010000000000000100101000000010000110000000001000000001000000000000010001000010000000000100010000110000000001000001000110000000110011000000010000100000000001000111010000000000000101111010011000000000011010000000000000101100110000000100011111100111000000011111000100101000000001001000001000000000000100100010001000010000000001000000000000000000110000000000000000001000000010000000100110000000001000000011100000000000000000110000000000000000000001100001100000000010001000000000000000100010000000000000001100100000000000011011011000000000000000011100000010001101000000001000000000000000000100000 Guidance
N 000000000000100000000000000000000000001000000110000001100000000001100000011000101000001100010000001001000010000000000010110001100110011100111110011001100111011100110110000001111110001111100001011101000001100100001111100000001111110101100000001001111111111000000000011101100100000000000110111001100000000001100000111101000010011001000110010000001010011001110000000011100110011001000010011100110110010001000110011001100001000000100110011000000000011001100100000000000110011101011000001001100110011000000001001001100110000000000000001000000000000000000010110000000000000000101000000000010000000000000001 FormlessOedon
N 000000000000000100000000000010000010000000000000011000000000000000000110010000000000001000000000000000000000001000001100000000000110000000000010000001100000000000000000010000000000000010000111000000000001000010000000000000000000011000000000000000000110000001001000000001101000011000000000011001010000000000001111000000011000000111111000000000000001001011000100000011100110011000000100110001100011000000011110111000000000001100000110000011000001100011010001100000001100011000111010000001000110001000000010001000000100010010000001000010000100010010000010000000100000000001100001000000000000000000100001 Hunter
N 000011110000000000000000000001110000001000000001100011000000000000100000001000010010001000001011000000000100000000010000010001001000000000010110010000000000001000000010001000000000000000100000000000000010000100000111000001010001000110001100100000011010000000101010010011000000000110011001010000000001010001000010000000000011110000010000001010000000101010000000000000000000110001000000000000010000000000000000010011000000000110000000001000000000001001000010000010000001000000100000000000000010101000000000000000000000010000000100000001010000000000100001100000000000000111100000000100000000000001000010 Anti-ClockwiseMetamorphosis
N 000100000000000000000000001000010000000001001110000001100000000001100001011010000000000000000010000000000000000000001100110101100110011010010110001001100110111111110110001011100110100111100000011101010001111100001111100000000111111111110000001001111011111000000000011001010110100000000110011001100000000001100110111000000000001001100110000001100110011001100000000101000110011001000000011001100011000000000110011001100000000001100110011000000000111001110111000000100010011101100010000001000110011000000010001001110100000011000000001001000000000010000000000001000000000000000000000000000000010100000000 FormlessOedon
N 000000000000000000011000000001110001000000100001100001100000000010110000000000000000001100000010000100000100000000000010000001000000000100000000010100000010000000000010000000000000000000100100000000000010001100000111101001000011000110101000100000001010000000101000001011000000001110000000010000000111010000100010001100010011110000010000000000101000000010100000000000000000100000000000001000000100001000000100000001000000000000010000001000100010000000000010001000000100000001100000000100001000011000001000000011000101000000000110010011010011000110110001100000000000000011100010100000010000000000010000 Anti-ClockwiseMetamorphosis
N 000100000001000000001000000000100001100000000100000001100000000101100000011000000010000000000000000000000000001000000111110001000100011100111110010011100110011001111110010011101110001111100000011111001001011100001111000000011110111111110001000011111110111000000101011001100111000100010100011001101001000001000110011000000000011001000110000000000110011001100000000001000110011000000000011000100110001100100100011001100000000001100110011000000000011101100110000000000110011001101010000001100110011000010000001001100100000000000010001001010000000000100010000000000000000000000000000000000000000000010000 FormlessOedon
N 001000000000010000000001100001001010100000110000000100000000001100000000001010000001010001000000100000000110000000001000000000010100010110000000001110000110000000100000100011000000000000000111001000000000000011010000000000000001110110000010100000110000110000010011111000000000000001000010001000000000001000000000110001000000000000000000000000000000000110000000000000000001000000000000000001110000110001000000011000000000000000011110000000000000000001001000000000000000010100000001001000010100010000000001000001000100000000000000011011000000000001000011100000100100000100000000000000000100000000001000 Guidance
N 001000000100000100000000000011100001000010000011100110001000000001000000011001000000010000000100110000001001110100000000000010000010001010000000000000000010010001000000000001000000000000100000010010000100111001001000000100111001100010000010010001000100000000011100000000110000000010100000101000000000000100000001011100100100000000000001100001100001000011000000000000000000000000100000101001000000000000000000000100001000000001000000000000000000010000010000001000001100000000000000000101000100000000000000001100000000000000000010000000001000000001011000111101100100000001110000000000000000010100000000 ClockwiseMetamorphosis
N 000010000000000000000001000010000000000000000001100000000001000000001000100010000001000010010000000000111000101100000011001110001001000000100000100010010000000010001001000100000000010000010001011100000010110101010011010001001001000100100001000010010001001000100001000000010010000000011111011111111000001110110001100000000000000100010001000000101001000100110000111100110000001000101001000100010010100001010001000101000000000101010001110100100000000000010010000000001101000000000000000010011000001000001000001100101011000000000000000100100000000000100000001000000000010000000010000001000000010001000000 Milkweed
N 000000000000000000000110000011110010011000100000111101000110000000101111101001000011000011100000110000010001111100011001100011000110001100000000011001110110000000001010111111000000000000000100000000000000000001100000000000001001110110111000000100100100100110000000000001100010001000000010011001100000101000000111000000010000000001000000010010011100011000010000000110001110000100000011010001100000000000000000011000000010001000000110001000000001000001100000000000011000011000011100010111000110000110001000000001100001000000000000011000000000010010000100100000000000000000000010000000000000000110000000 Impurity
N 000000000010000000000000001011101000000000101011000110000000000001000100010000001000000010000110000000001000000000110011000000011010001000000100000000000010000000010000000001000000000100100000110000001000101000000000010000110001101010000110010010000101000001011000000000110000100110000000001010000001100000010100011000100110000110010001110000001000000000000000000000110010000100000000001000101000000000000011000000000000000001000000010001000001010000000000000000000100010001000010000001000000000000101000001000110000000010000010000000100000100000011010010000000000100001110000000000000000000000000100 ClockwiseMetamorphosis
N 000000010000000010000000000101000000010010010000011000000001100000010110000000100010000001100000000000000000001000000000010001000110110001000000000000100000000000010000011000000000000010000111000100100010000101100001001000010000001000000000001000000100100000000000000001100001000001000000011010100000000000001110000000000000100111111010000000001001010011000000010001100110011000000000110011110011000000011000011000010000011100000110001011000001100001100001101000011111001000010000000001100110011000000000001001000100000000000001000000100101001000001110000000000000000000100000000000000000100000000000 Hunter
N 000000000000000000000110000011110000011000100000011101000100001100101111000001000011000001100100111000011000010000011000000011000110001100000001011000111110000010001011011101010000001010000110000000000000001001100000000000011000111000011000000110000110000110001000000001000001101010100000001100000000000101000110000000000000100001100000000001111000011000011010001110010110000110000000010001100000000010000000011000000000100000000110000000000000000001100100001101011000011000001100000110000110000110000000000001100000000000010000011100000000000000000100110000001000000101000000001000010010110000000100 Impurity
N 010000000000000000000110001011110000011001100000111100000100101000001111010001000011000101100000110000000100011010011000000011100110001100000000111001000100010010000011111111000000100000000110010000000000000001100000000000010010010100111000010010000111000110000000000001100000000000000101010000000000000000000010010000001000100001100000000000011000001000011000100110000110000110001000100001100000000000000001100000000010000000100110000000000000000101100000000001011000011000011100000110000110000110001000000001100000000000000000010000000011000000000100000000000000000001000000000100000000000000000000 Impurity
N 000000000000000001000000100011100010000000000010000111000000010001100000010000000000010000000100000000001100000000100000000010000000011000000000000000000010000100000000000001000000001000100000010000000100101000001001010000101001100010000010010000000101001000011000010000110000100110000100001010110001100000000100001000100100000010000011110000100001100001101000000110010000001000000000001000000000110000000011100000000000000001010000100000110000010100000000000100000100010000100000000001000010100000000000000000001001000000001010100000110000000000010000111000010001000001110000000001000000000000010000 ClockwiseMetamorphosis
N 000100100010001000010000010000000001010000000000000000010100101000111000011100100100000110000110000001000001000010000000001000010000101000100011100100001010001000001001000110010100000001000000100101001000111011100000101000000011111001100000010100001111000000100100000111101000100001100100010011110000000110000001000000000000000001100000001000000010001100000000000110000010000000100000000001100000001000000000110000000000000100000000000000000000100110000000000000000001001000000010000000010110000000001111000101101000000000100100000011000000000001001011100010000000000010111100000000011000000100000101 Beast
N 000000000000000000100100000011100000011011100000101100000000001000001111000011000011000001100000110000011001001101010010000011000100001100000000011011100110000000000010111110000000000000001110000000000000100001101001000100011000011001011100000111000111000110000000010001100000001000000000011000010101001000000110000000000100000001100000001000011000011000011000000010000110001010011000000011001010000000000000011000000000000000000110000000100001000001100000001000011000011001011000000110010110000110000000000000100000010000000000011000000000000000110110010000000000000000000100000000010000000001001000 Impurity
N 010100010000010001000001001010000000001010010000100000000000000000001000100000000000000010010000000000110000101100000000000010000001100000000000110001010000101000001001010100100000100010010001011110000000100100010010010000101001000110100010000110110001001010101001000100110111010001111101111111111000001100110000001000000011000100010010000100110001000100100000001100010000001000000000001110010010110000110001000101010000000100000101010000000000001100010110000000000001100000000000000000010000001010000000000110000010000000000000000001100000000000000000001010010010000010001111000000000000000000000000 Milkweed
N 000000000000000000000110000011110000011000100000111100001100000000001111000001000011100001101000110000010000011000011000000011000110001100000000010001100111000010000011111111000010100000000110100000000000000001100000100010011000011000011000010110010110000110000000000001100000000000000000011000000100000010000110000000000000100001100000000000011000011001110000010110000110000110000000001001000000000001000000011100001100000010000110000000000000010011100000000010010000010001011101000110000100000000000000000001100000110000010010011000000000000000001100000000000000001001000101010010000000001000000000 Impurity
N 000000100000000010100100010011101000000000000011000111000000001001000000010000000000010000000100000000001100000000100000000010000000101000000000000000001010000001000001011001000000000000000000010000000000111100001000010000110001110000000000010000101101100100010100000000110100000110010000001010000001100000010000010000101100010010000001010000000000000000001000000000010000000000000000001100010001000000010110010001100001000001000000000000101010010100000000000001000100000000000000001101000000000000001000101100010000100000000010010000100010000000011000010100101100000001110000100000001000000000000100 ClockwiseMetamorphosis
N 000000000000000000000110001011110000011000100000111100001100001001001111000001000011000001111010110000011000011010011000000011000110001100000000011011100110000000001001110111010000000000000110100000001000000001100000000010011000011000111100101111000110000110000101010001100000000000010010011000000100010100000110110000010001000001100100000001011000111000011010000110010110000110000000000001100000010000001000011000000100000000000110010000000000000001100000100000011000001000011000000110000111000110000100000001100001000001000010011000000000100000000100100000000000000011000000001000000000000001000000 Impurity
N 000000000000010101100000000011110001000000000011100011010000000000100001001000000000101000000010000000000100000000010000000001000000010100100000000010000000000001000010001000000000100010100000100000000010000110000111000001000000010110001110110000001001000100101000000011000001000110011001010000010001001001100010010000010011000000010010001000000000000010000000000011101101101000000100000100000100000000000000000001000010010000000000001000000000000000000010000000000000011000100000100000000000001100000000100101000110000000000110000001000000100000110101100000000000000011100001010000000000000000000000 Anti-ClockwiseMetamorphosis
N 000001000000000000000001100000000000000000100000101000010100001010001000000010000100010000000000100100010111000000001000000000100000000110000000000110010111000000000000111111000000000000110111000000000001011011010000000010000001110110000000000101110010110000000001111010100100000010000000000000000000000000000001110000000000000000001000000010001010000110000000000000000001010000000000000010110000000000000000001000000001000000000110001000000010000011000010000000000001010001000000000000000100010000000000001001000100000000000010001011000000000000000011000000010001000000000000010000000000010000000000 Guidance
N 000100000000000000000000000001010010000000110001101001000100000000100000011000000000101000000110000001000100000000000000000101000000100100000000010000000000000000010010000001000000000000100000001000000010000100000101000001000001100111011100100110001010000000101100000011000000000110100001010000000000010011100010100110010001100000000010001000000000000010010000000000000100100000000001001001000100010100000100000000001000000000000000001000000000000000000010000000000100100010100000000000000000001100000000000010011100000000000100000001001000000000110001100001000000000010100101000000000000000000001000 Anti-ClockwiseMetamorphosis
N 001000000000000100000000000000000010000010000111000001100000000000100000111000000000000000000010000000000000000000000000110011100110001000011110011001100110011101010110000000101110001111100001011011000101111100001111100000001111111101010001000011111111111000000000011001100110001000000110011001010000000001110110001000000000111001100110000000000110011001000000000001100110011000000000111101100100000000000110111001100001000000100110011000000000010101111100000000000100011001100010100010100110111010000000001001100100000000100000001000001000011000000010000000010000001000000000000000000000000000000001 FormlessOedon
N 000000000000001010000010000111000010000010000000001000001010100100000110000000000000000001100100000000000000111000000000000000000110000001000000000001100100000010000000011000000010000000000110000010000000110001100000000000000000011001000000000000000100000000100000010001100000000000000000011000000000100000101111000000011000011011111000100000000011011011000000010001110100011000000000110001100011000100011000011000011110001100000110000011000000100001100000110000001100001000110000010001100110011000000000001110000100000000000000000010000000000000001110100000000000000001100101000000000000000000000000 Hunter
N 000000000000001101000110000011110000011101000000111100000000001000011111101001001011010001100000110000011000011001011010000010000110001100000000001001100110000000000011111101000000000001010110000000000000100011110000000000011110111000011000000110001110000110010000000001100000010010000000000010000100000000000111010000000000010000100000000000011001011100011000000110000011000110000001100001110100000000000000011000000000000000000110000000001000000001100000000000011010011000011000000110000110000110000000000001000000000000010000011000001000000000001100000000000100000101000010000000000100000000000000 Impurity
N 001100000000000000000001100000100011000000010000000000010000000000001000000010100000011000000000100000010110000000001000001000110000000110000000010110000111000000000000101111001000100000000100000000000010000011010000000000001001100110000010000000110000110000000011111100000110000010000000000000000010000000010000110000100000000000001000001000000000010110000000000000000001011010011000000010110000000000000000001000010000000011000110110000100010000001011000000000001000010011000001001000000100010000000000101001100110000000000000011111001000000000000011000100000000000000000000000000000000000000000000 Guidance
N 000000000000100000000000000010000000000000000001110000000010000000000000100000000010010010010000000001110000001100001000001110001001000000000000100010000000001000100001100100100000000010010001011110000000100100010011010000001001000100110111000010010001001000111001110100010000010001111101111111110000001100100001001000001011000100010010000000110000000110101000001000010011000110000011000100010010010000010001000101000000000101010001010100010001110100010110000100000001000010100000000000010100001101000000000100000010000001100000000010101010001000100100000000000000100001000011100000000100100000000000 Milkweed
N 100000000000000101000110000011110100111001100000101000000100001000001111000001001010100111000000110000010000011000011000100011000110001100000000011001100110000000000111011111000000000000001100010000000000000001100000000000011000011000011000000111000110001110000000000000101000000001001000001000000000000000000110000000000000100001100000010100001000111100010000000110000110000110100100000001100000000000000000001000000000010000000111000000100000010001100000000000011000011000011000000110000110000111000001000000100000100000001100011000000000000000000100000000000000000001100000011000000000000000000000 Impurity
N 000000000001000000000101000010000000000000000011100000000010000000001100000000000010000000010000000010110001101100000000001011001000010000000000110011010010000000001001000110000000000010010001011110000000100100010011011001000001001100100000000010010011001000100001001100010010010001111101110011111100001110110011001110000011000100110110000011100001000100100000001100000001001000000101000100010011000000010010010100000000000110000001000000000000000100010010000000000001001010100000010000010000001000001001000100000110100000000000100000000000010100010000001000000100000110000010000000001000000000000000 Milkweed
N 100101000000000000000000000001110000000000000001100001010000001000101000001000000000001000000010001100001100000000010000000001000000000100000010010000000000000010000010000000000001001000110000100100000010010000000111000001000001010110001110100000001010000001101000000011000001000100010101000000000001110001100010000110000011100000010000001000000100000010000000000000000000010011000000000000000100010000000000000001000000000100000001101000011000000000100010010000000000000000100100000000000001001000000100000000000100000100010100000001000010000000110001000000000000000011100000100000010000000000000000 Anti-ClockwiseMetamorphosis
N 010000000000000000000110000011110000011100100000111100000100101000001111001001000011000000000000110000011000011010011000001011000110001100000000011001000011000101000001110101000000000100000110000000000000000001100000000000011000011000111000000110000110000110000000000000101100000010000000011000100000000000010111000000000000000010100000010100011000110000001001000110000111000110000000100011100001000000001010011100000000000010000111000000011000001000100100000000111010011000011000000100101011000110000000000001000000000001101000011000000000000001000000100000000000000001000000000100001000001100000000 Impurity
N 100000000000100000000000000010000000000000000001011001010000011100001000100010001000010010010000000100110000101100000000001110001001100000000000100010010100010000001001100100000000000010010001001100000000100000010010010000001101000100110010000000010001001000100101000000010011010101111111111111111000000100110001001010000011000100010010000100111101000100100000001100110001000001000000000100011010000000010011000101000100000100010001010000000000000100011010010000010001000000101001000000010101011000000000000100000010000000000000000000100000000000000000001000000100000000000010000100100000000000000000 Milkweed
N 000000000000010000000101100000000000000000111000000000010000001000000000000010000000010000001000100000000110000000101000000000110000000110001000000110000011000010000000111111000101010001000011000000000000000111010000000000100001100110000000000000110000110000000011111001000100000000001000000001000001000000000100111001000010100000001000000000000000000110000000100000010011010000101000000000110000100000000000001000000000000000000110000000000000000000001100000001000000010001000000000000000101010000000000000001010100000000000000011011000000010000000011100100000010010100000000000000000000000000001000 Guidance
N 100000001000110000000110000011110000010000100100111100000100001000001101000000000111000001100001010111011010000001011000000011100110001100000000011000101110000010010010111001000100000001000111001000000001000001100000000000011000010000011000010110001110010110000000000001101100100000000000001010100000000000010110000000010000000001100000000011011100001001011000100110100110000110000000001001010100000000001001111010001000001000000110000010000100001001100000000000011000011000011000000000100110000110000000000001100100000001000000101000000000000000000100000000000000001001010000010000000100010000100000 Impurity
N 000010010000000000000000000010000000100000000001100000000000000000001000100000100000000010111000000000100100101100000000101111001001010000001000110010011001000000001000001100000000000110010001011110100000110100010010110000001101000100100110000110010011001000100001000100000010010001111111101111111000001000110000001000000011010100110110000000110001000101100000001100010001001000010001000100010010100001010001000001000000000100000001110000000010001100010010001000000011001000000000000000110000001000000000000100000010000000000011001000100000000000010100101000000000000010010010000000000010000000000000 Milkweed
N 000000000000000000000000000000000000001000000110000000100000000001101000011000101000000000000000000000000000011100000000011000000110011000110110011001100110011101110110000001101110001111100000011111000001111100000111100000001111111111110011010001111110111000001000011011110110000001000110011101000000000101100110111100000000011001000110010010010100011001100100100001100110111000000000111001100110010000000010011101100001000001100110011000000100011101100110100000010110011001100000000001100110011000000000001001000100000000000000001000110000000100000010000000000000100010000010000100010000010000000010 FormlessOedon
N 000001000000000000000010000001111000000000000001100011100001000000100000001000000000001000100010001100000100000000010000000001000000000100100000010000000010100000000010000000000010000110100000010000000011000100000110000001001001000111101100100101001000000000001000001011010000000110100101010000100001110100100010010001011001100000010001001000010000100010000001000000000000100001000000010001000100000000100000000001000000010100001000001001000100000100000000001000000000000000100000010000000000000000000000000000000101000000000100000101000000010000110001100100000010000011100000000110001000000001010000 Anti-ClockwiseMetamorphosis
N 000100000001000001000000000011001000100000000001011000000001000000100111000000100000010101101000000000000001011001000000001101010110000000100000100001000000000000000001011000000010010000000110000000000000010000100000000000000000011000000010000000000111000000000000000001100001000010100000011000100000000100001111100000000100000111111010110000000011010011000100001000100110011000000000110001100011000000111000011001001000001100000010000011000011000001100001110000100100010001110000101001101010111000010111011000001100000000000000000000000110100000000100010000000000100001100100010000000000010000110000 Hunter
N 001000001001000011000110100011110000011000101000111100000100001000001001000000000011000001100001100000011001011100011000000011000100001101000000010001100110001000010011101111000000000000010110100000000000000100100000000001010001011000011100000110000110000110010000000101100000000000001000011000000000000000000111100101000000000001100000000000011000011010011000000110000110000110010000000001100001010000000000010010000000000000000110000000000000000001100000001010011000101000011000000110000110000110000000000000101000000000000001010000000000000000000100000000000000101001000000000000000000000001000000 Impurity
N 000000000000000000000110000011110000011000000000111000100101000000010111001100010010000001111000110000011000011000001000000011000110001000001000011001100110000010000010111011000010010100010110100000000000000001100001000000011000011000011000000101001110000110010000000000100010100000000010001000000110000000000110000010110000000001100000001000101010011010001000000010000010000110000100000001100000010110000000011000000000010000100110100000000100000001100000011100011000011000111000000110000110000010000001001111000001000000000000001000000000000000000110000000000001000001000100000000001000010000000001 Impurity
N 000000000001000001000100000011100000000000000011001111000000010001010000010000000001010000010100000000001000010000100000000010010101001100010000010000000010000000000000000001000000100010010000010000000000111100001000010000010001100010100010010000101101000000010001000000011000000110000001101000000001000000100100011000100100000010000001110000000000010000000001000000010000000001000000001000000000010000000010000000010000100001000010000000001000010000000000101000100100010100000000000101000100100000000100001000100010000001000010010100100000000000011000110001000000010011110100000010000000000000000000 ClockwiseMetamorphosis
N 100000100000000000000001100001110010100000001001100011001000000000110000001000000000000100000010000000000100011100010100101001000010000100000000010000000001000000001010000000000000000000110001000001001010000000000111100001001001000110001100100000001011001000111000000011000000010110000001110000100001000101100000100010010011100000010000101010000000100011000010000101000000100000001000000000000111000000100000000001000001000000000000111000000000000000000010000100000000000000100000000011000100001000000001000001010110000010000100000001000000000000110001000000010001000011100000010000000000000000000000 Anti-ClockwiseMetamorphosis
N 000100100000001010000100010000010101000000000010010000010001010000110010010000000110000100000110000001000001000001000000001010110000000100100011000000001000001100111001000110000101000011001001000001000000011010010001100000000001111011111000110000001111000001000100000111111000100100110110010011110000000110000100000010000001000001100000000000000000001000001010010011000010001000000100010001100000010000100010110000000000001000001000000000001000000110000000000010000001000000000000000000011011000000000010000101011000000100000000000001000110010000001111100000000000000000110000010000011000100100100010 Beast
N 000000100000000000000000000010000000100000010111100000000000000000010000000000000011100010011100000100110000001100000000001110010001000000000000100010011000000000001000011100000000000000011001011100000000101110010010010000000001010100100010010010001001001100110010010100011010010001111111111101110000001100110001001000000011001100010010000000110011000100100001001100100001001100000001010100010011000000100001000101100000001000010001010000000000100100010010000000010000000000100010000001010100101000000100010100010010000000000000000000100000000000000000001000000000010000000010000000000000000000010000 Milkweed
N 000000000000000000000000010011000000000000100000011000000000000000001110010000010100010001100100000010000000011000000000000000000110010100000000000001110100001000001000011000110100000000000110000000000000000011100000000000011000011000100000000000000010000000000000010001100000100000000000011110000000001000001111000000010000000111011000000000001011011011000000000001100100011000000000110001100011000100010000010000011000101100000110000011000001000001100111110001001101011000110000000001100110011010000010000010000100000000011000000000000000000010010110000001000110000001100000000100000000001000001000 Hunter
N 000000101000011000001000010000001001100000001000000000010000000000100000001100000110000101000110001001000000011101100010001000010000100000101011100001001000001000011001100100111100000001001001100011000010011110110001100010000011111011000000110000000011000000000100000111111100000000000110010011110100000110000100101000000000100001100000000000000000001000000000000100000010101000101000000001100000000100000100111000000000000000101000000000000000000010000000000010010001000000000010000000010111000000001001000101110100000000000011000101000000000010001110110000010000000000110000010000001100001100000101 Beast
